Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1854.314262
FDW14,OUT017,1374.794241
NCN55,OUT010,569.1888141
FDQ58,OUT017,2454.692199
FDY38,OUT027,5689.767135
FDH56,OUT046,1952.516729
FDL48,OUT018,820.8427402
FDC48,OUT027,2325.318415
FDN33,OUT045,1481.226099
FDA36,OUT017,3007.050791
FDT44,OUT017,1885.27113
FDQ56,OUT045,1397.047518
NCC54,OUT019,635.0572487
FDU11,OUT049,2029.28049
DRL59,OUT013,779.8066883
FDM24,OUT049,2523.492423
FDI57,OUT045,3492.027903
DRC12,OUT018,2996.423276
NCM42,OUT027,2714.473693
FDA46,OUT010,446.9883613
FDA31,OUT013,2866.592285
NCJ31,OUT035,3753.198725
FDG52,OUT046,814.8996028
NCL19,OUT019,268.318457
FDS10,OUT035,3255.287501
FDX22,OUT010,506.4768175
NCF19,OUT035,866.9199993
NCE06,OUT046,2614.946629
DRC27,OUT046,3732.335786
FDE21,OUT035,2067.066859
NCR42,OUT019,138.0562528
FDX51,OUT018,2669.170376
NCR06,OUT018,735.8092979
FDU31,OUT027,5446.501075
FDU59,OUT017,2396.490967
FDR03,OUT027,5302.351221
FDS49,OUT027,2574.911388
FDD48,OUT010,221.2042558
NCF18,OUT017,3057.08949
NCD43,OUT027,2602.108798
NCD54,OUT018,2014.934171
FDY19,OUT010,238.0430457
NCY54,OUT017,2613.350428
NCL19,OUT018,2110.315804
FDP23,OUT010,553.4426055
FDC26,OUT013,1846.63657
FDR14,OUT010,193.3295708
NCS41,OUT035,3065.97443
FDF41,OUT035,3932.589133
FDU34,OUT046,2089.119996
DRH11,OUT046,979.1762888
FDM03,OUT013,1809.100339
FDS31,OUT017,3136.633665
FDJ20,OUT017,2144.833865
FDV44,OUT027,5131.425632
FDG02,OUT049,2972.554897
FDA09,OUT013,3221.855401
FDT04,OUT013,653.1459082
FDL58,OUT019,572.0078385
FDE52,OUT045,1338.046902
